id,专利类型,案件受理年份,案件判决年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
1,1,2015,2015,1,0,1,0,1,4,4,2,5,0,3
2,1,2017,2019,1,0,1,0,1,6,6,2,5,0,6
3,1,2017,2017,1,0,1,1,1,4,5,3,4,0,2
4,1,2015,2016,1,0,0,0,1,4,5,3,5,0,4
5,1,2014,2015,1,0,0,1,1,4,5,4,5,0,2
6,1,2016,2017,1,0,1,1,1,6,2,2,5,0,2
7,1,2016,2017,1,0,1,0,1,3,4,3,5,0,2
8,1,2015,2016,1,0,0,0,1,4,5,3,4,1,0
9,1,2017,2017,1,0,1,0,1,4,3,3,5,0,3
10,1,2018,2019,1,0,1,1,1,5,4,3,5,0,4
11,1,2017,2018,1,0,1,0,1,4,4,3,5,0,3
12,1,2014,2015,1,0,1,1,1,6,5,3,5,0,3
13,1,2016,2017,0,0,0,0,0,2,4,3,4,0,1
14,1,2015,2018,1,0,1,0,1,6,6,4,5,0,6
15,1,2018,2019,0,0,1,1,1,6,3,3,5,0,2
16,1,2016,2017,0,0,1,0,1,6,5,3,3,1,0
17,1,2015,2016,0,0,1,1,1,6,4,3,5,0,3
18,1,2015,2019,0,0,1,1,1,6,7,4,4,1,0
19,1,2015,2016,0,0,1,1,1,6,4,7,4,0,2
20,1,2015,2016,0,0,1,1,1,6,0,3,5,1,0
21,1,2015,2016,0,0,1,0,1,4,4,3,5,1,0
22,1,2015,2016,0,0,1,1,1,4,0,3,5,0,2
23,1,2018,2018,1,0,1,0,1,3,4,3,5,0,2
24,1,2018,2019,0,0,1,0,0,1,0,6,3,1,0
25,1,2016,2017,0,0,1,1,1,6,3,3,5,0,2
26,1,2017,2018,0,0,1,1,1,6,4,3,5,0,3
27,1,2017,2017,0,0,1,0,1,6,6,3,5,0,2
28,1,2017,2017,0,0,0,0,0,1,0,5,1,1,0
29,1,2018,2019,1,0,1,0,1,5,0,3,5,0,3
