专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
1,2015,1,0,1,0,1,4,4,2,5,0,10-20万
1,2017,1,0,1,0,1,6,6,2,5,0,100-1000万
1,2017,1,0,1,1,1,4,5,3,4,0,1-10万
1,2015,1,0,0,0,1,4,5,3,5,0,20-50万
1,2014,1,0,0,1,1,4,5,4,5,0,1-10万
1,2016,1,0,1,1,1,6,2,2,5,0,1-10万
1,2016,1,0,1,0,1,3,4,3,5,0,1-10万
1,2015,1,0,0,0,1,4,5,3,4,1,0万
1,2017,1,0,1,0,1,4,3,3,5,0,10-20万
1,2018,1,0,1,1,1,5,4,3,5,0,20-50万
1,2017,1,0,1,0,1,4,4,3,5,0,10-20万
1,2014,1,0,1,1,1,6,5,3,5,0,10-20万
1,2016,0,0,0,0,0,2,4,3,4,0,0-1万
1,2015,1,0,1,0,1,6,6,4,5,0,100-1000万
1,2018,0,0,1,1,1,6,3,3,5,0,1-10万
1,2016,0,0,1,0,1,6,5,3,3,1,0万
1,2015,0,0,1,1,1,6,4,3,5,0,10-20万
1,2015,0,0,1,1,1,6,7,4,4,1,0万
1,2015,0,0,1,1,1,6,4,7,4,0,1-10万
1,2015,0,0,1,1,1,6,0,3,5,1,0万
1,2015,0,0,1,0,1,4,4,3,5,1,0万
1,2015,0,0,1,1,1,4,0,3,5,0,1-10万
1,2018,1,0,1,0,1,3,4,3,5,0,1-10万
1,2018,0,0,1,0,0,1,0,6,3,1,0万
1,2016,0,0,1,1,1,6,3,3,5,0,1-10万
1,2017,0,0,1,1,1,6,4,3,5,0,10-20万
1,2017,0,0,1,0,1,6,6,3,5,0,1-10万
1,2017,0,0,0,0,0,1,0,5,1,1,0万
1,2018,1,0,1,0,1,5,0,3,5,0,10-20万
1,2016,0,0,1,1,1,6,2,4,5,0,10-20万
1,2018,0,0,1,1,1,6,2,4,5,0,0-1万
