id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
1,1,2015,1,0,1,0,1,4,4,2,5,0,10-20万
2,1,2017,1,0,1,0,1,6,6,2,5,0,100-1000万
3,1,2017,1,0,1,1,1,4,5,3,4,0,1-10万
4,1,2015,1,0,0,0,1,4,5,3,5,0,20-50万
5,1,2014,1,0,0,1,1,4,5,4,5,0,1-10万
6,1,2016,1,0,1,1,1,6,2,2,5,0,1-10万
7,1,2016,1,0,1,0,1,3,4,3,5,0,1-10万
8,1,2015,1,0,0,0,1,4,5,3,4,1,0万
9,1,2017,1,0,1,0,1,4,3,3,5,0,10-20万
10,1,2018,1,0,1,1,1,5,4,3,5,0,20-50万
11,1,2017,1,0,1,0,1,4,4,3,5,0,10-20万
12,1,2014,1,0,1,1,1,6,5,3,5,0,10-20万
13,1,2016,0,0,0,0,0,2,4,3,4,0,0-1万
14,1,2015,1,0,1,0,1,6,6,4,5,0,100-1000万
15,1,2018,0,0,1,1,1,6,3,3,5,0,1-10万
16,1,2016,0,0,1,0,1,6,5,3,3,1,0万
17,1,2015,0,0,1,1,1,6,4,3,5,0,10-20万
18,1,2015,0,0,1,1,1,6,7,4,4,1,0万
19,1,2015,0,0,1,1,1,6,4,7,4,0,1-10万
20,1,2015,0,0,1,1,1,6,0,3,5,1,0万
21,1,2015,0,0,1,0,1,4,4,3,5,1,0万
22,1,2015,0,0,1,1,1,4,0,3,5,0,1-10万
23,1,2018,1,0,1,0,1,3,4,3,5,0,1-10万
24,1,2018,0,0,1,0,0,1,0,6,3,1,0万
25,1,2016,0,0,1,1,1,6,3,3,5,0,1-10万
26,1,2017,0,0,1,1,1,6,4,3,5,0,10-20万
27,1,2017,0,0,1,0,1,6,6,3,5,0,1-10万
28,1,2017,0,0,0,0,0,1,0,5,1,1,0万
29,1,2018,1,0,1,0,1,5,0,3,5,0,10-20万
30,1,2016,0,0,1,1,1,6,2,4,5,0,10-20万
31,1,2018,0,0,1,1,1,6,2,4,5,0,0-1万
32,1,2015,0,0,1,0,1,3,4,4,4,0,1-10万
33,1,2015,0,0,1,0,1,2,4,4,4,0,1-10万
34,1,2017,0,0,1,0,0,1,2,4,5,0,1-10万
35,1,2015,0,0,1,1,1,5,4,4,4,0,1-10万
36,1,2014,0,0,1,0,1,2,4,4,5,0,1-10万
37,1,2015,0,0,1,0,1,4,2,4,4,0,1-10万
38,1,2014,0,0,1,0,1,2,4,4,5,0,1-10万
